Abdomen	D000005
Chromosomes, Human, 16-18	D002902
Chromosomes, Human, 19-20	D002903
Chromosomes, Human, 21-22 and Y	D002904
Chromosomes, Human, 4-5	D002905
Chromosomes, Human, 6-12 and X	D002906
Chyle	D002913
Cicatrix	D002921
Cilia	D002923
Ciliary Body	D002924
Circle of Willis	D002941
Cisterna Magna	D002946
Clavicle	D002968
Cleavage Stage, Ovum	D002970
Clitoris	D002987
Cloaca	D002988
Clone Cells	D002999
Coated Pits, Cell-Membrane	D003034
Coccyx	D003050
Cochlea	D003051
Cochlear Aqueduct	D003052
Cochlear Duct	D003053
Cochlear Nerve	D003056
Colon	D003106
Colostrum	D003126
Comb and Wattles	D003129
Common Bile Duct	D003135
Conjunctiva	D003228
Connective Tissue	D003238
Connective Tissue Cells	D003239
Cornea	D003315
Corneal Stroma	D003319
Coronary Vessels	D003331
Corpora Allata	D003335
Tectum Mesencephali	D003336
Corpus Callosum	D003337
Corpus Luteum	D003338
Corpus Striatum	D003342
Cranial Fossa, Posterior	D003388
Cranial Nerves	D003391
Cranial Sinuses	D003392
Cranial Sutures	D003393
Cricoid Cartilage	D003413
Crop, Avian	D003426
Cuspid	D003481
Cystic Duct	D003549
Cytoplasm	D003593
Cytoplasmic Granules	D003594
Cytoskeleton	D003599
Cytosol	D003600
Decidua	D003656
Vestibular Nucleus, Lateral	D003689
Dendrites	D003712
Dendritic Cells	D003713
Dental Arch	D003724
Dental Cementum	D003739
Dental Enamel	D003743
Dental Papilla	D003771
Dental Pulp	D003782
Dental Pulp Cavity	D003786
Dental Sac	D003795
Dentin	D003804
Dentin, Secondary	D003809
Dentition	D003817
Dentition, Mixed	D003818
Descemet Membrane	D003886
Desmosomes	D003896
Diaphragm	D003964
Diastema	D003970
Diencephalon	D004027
Digestive System	D004064
Dorsomedial Hypothalamic Nucleus	D004302
Douglas' Pouch	D004312
Ductus Arteriosus	D004373
Duodenum	D004386
Dura Mater	D004388
Ear	D004423
Ear Canal	D004424
Ear Cartilage	D004425
Ear Ossicles	D004429
Ear, External	D004431
Ear, Middle	D004432
Eccrine Glands	D004439
Ectoderm	D004475
Efferent Pathways	D004525
Egg Shell	D004528
Egg Yolk	D004530
Ejaculatory Ducts	D004543
Elastic Tissue	D004547
Elbow	D004550
Elbow Joint	D004551
Electric Organ	D004557
Embryo, Mammalian	D004622
Embryo, Nonmammalian	D004625
Embryonic Structures	D004628
Enamel Organ	D004658
Endocardium	D004699
Endocrine Glands	D004702
Endocrine System	D004703
Endoderm	D004707
Endolymph	D004710
Endolymphatic Duct	D004711
Endolymphatic Sac	D004712
Endometrium	D004717
Endoplasmic Reticulum	D004721
Endothelium	D004727
Endothelium, Corneal	D004728
Endothelium, Lymphatic	D004729
Endothelium, Vascular	D004730
Enterochromaffin Cells	D004759
Eosinophils	D004804
Ependyma	D004805
Epidermis	D004817
Epididymis	D004822
Epidural Space	D004824
Epiglottis	D004825
Epiphyses	D004838
Epithelial Attachment	D004846
Epithelial Cells	D004847
Epithelium	D004848
Erythroblasts	D004900
Erythrocyte Inclusions	D004908
Erythrocyte Membrane	D004910
Erythrocytes	D004912
Erythrocytes, Abnormal	D004913
Esophagogastric Junction	D004943
Esophagus	D004947
Ethmoid Bone	D005004
Ethmoid Sinus	D005005
Eukaryotic Cells	D005057
Eustachian Tube	D005064
Exocrine Glands	D005088
Extracellular Matrix	D005109
Extracellular Space	D005110
Extrapyramidal Tracts	D005116
Extremities	D005121
Exudates and Transudates	D005122
Eye	D005123
Eyebrows	D005138
Eyelashes	D005140
Eyelids	D005143
Face	D005145
Facial Bones	D005147
Facial Muscles	D005152
Facial Nerve	D005154
Fallopian Tubes	D005187
Fascia	D005205
Fascia Lata	D005206
Fat Body	D005216
Feathers	D005241
Feces	D005243
Femoral Artery	D005263
Femoral Nerve	D005267
Femoral Vein	D005268
Femur	D005269
Femur Head	D005270
Femur Neck	D005272
Fetal Blood	D005312
Fetal Heart	D005318
Extraembryonic Membranes	D005321
Fetus	D005333
Fibroblasts	D005347
Fibula	D005360
Finger Joint	D005384
Fingers	D005385
Flagella	D005407
Fluids and Secretions	D005441
Foam Cells	D005487
Foot	D005528
Foot Bones	D005529
Foramen Magnum	D005539
Forearm	D005542
Forefoot, Human	D005545
Forehead	D005546
Forelimb	D005552
Fovea Centralis	D005584
Frontal Bone	D005624
Frontal Lobe	D005625
Frontal Sinus	D005626
Fruit	D005638
Fundus Oculi	D005654
Gallbladder	D005704
Ganglia	D005724
Ganglia, Autonomic	D005725
Ganglia, Parasympathetic	D005726
Ganglia, Spinal	D005727
Ganglia, Sympathetic	D005728
Gastric Acid	D005744
Gastric Fundus	D005748
Gastric Juice	D005750
Gastric Mucosa	D005753
Gastrointestinal Contents	D005766
Gastrula	D005775
Geniculate Bodies	D005829
Geniculate Ganglion	D005830
Genitalia	D005835
Genitalia, Female	D005836
Genitalia, Male	D005837
Germ Cells	D005854
Germ Layers	D005855
Gills	D005880
Gingiva	D005881
Gingival Crevicular Fluid	D005883
Gizzard	D005895
Globus Pallidus	D005917
Glomerular Mesangium	D005920
Glomus Jugulare	D005924
Glossopharyngeal Nerve	D005930
Glottis	D005931
Golgi Apparatus	D006056
Golgi-Mazzoni Corpuscles	D006057
Gonads	D006066
Ovarian Follicle	D006080
Granulation Tissue	D006097
Granulocytes	D006098
Granulosa Cells	D006107
Groin	D006119
Growth Plate	D006132
Gyrus Cinguli	D006179
Hair	D006197
Hair Cells, Auditory	D006198
Hair Cells, Auditory, Inner	D006199
Hallux	D006214
Hand	D006225
Harderian Gland	D006243
Haversian System	D006253
Head	D006257
Heart	D006321
Heart Atria	D006325
Heart Conduction System	D006329
Heart Septum	D006346
Heart Valves	D006351
Heart Ventricles	D006352
Heel	D006365
Heinz Bodies	D006366
HeLa Cells	D006367
T-Lymphocytes, Helper-Inducer	D006377
Hematopoietic Stem Cells	D006412
Hematopoietic System	D006413
Hemic and Immune Systems	D006424
Hemocytes	D006434
Hemolymph	D006458
Hepatic Artery	D006499
Hepatic Duct, Common	D006500
Hepatic Veins	D006503
Heterochromatin	D006570
Hindlimb	D006614
Hip	D006615
Hip Joint	D006621
Hippocampus	D006624
Histiocytes	D006644
Hoof and Claw	D006724
Horns	D006733
Humerus	D006811
Hyalin	D006818
Hybrid Cells	D006822
Hybridomas	D006825
Hymen	D006924
Hyoid Bone	D006928
Hypogastric Plexus	D007001
Hypoglossal Nerve	D007002
Hypopharynx	D007013
Anterior Hypothalamic Nucleus	D007025
Hypothalamic Area, Lateral	D007026
Hypothalamo-Hypophyseal System	D007030
Hypothalamus	D007031
Hypothalamus, Anterior	D007032
Hypothalamus, Middle	D007033
Hypothalamus, Posterior	D007034
Ileocecal Valve	D007080
Ileum	D007082
Iliac Artery	D007083
Iliac Vein	D007084
Ilium	D007085
Immune Sera	D007106
Immune System	D007107
Incisor	D007180
Inclusion Bodies, Viral	D007181
Incus	D007188
Inferior Colliculi	D007245
Inguinal Canal	D007264
Intercellular Junctions	D007365
Intercostal Muscles	D007366
Intercostal Nerves	D007367
Intermediate Filaments	D007382
Interneurons	D007395
Interrenal Gland	D007401
Intervertebral Disc	D007403
Intestinal Mucosa	D007413
Intestinal Secretions	D007419
Intestine, Large	D007420
Intestine, Small	D007421
Intestines	D007422
Intracellular Fluid	D007424
Intracellular Membranes	D007425
Iris	D007498
Ischium	D007512
Islets of Langerhans	D007515
Jaw	D007568
Jejunum	D007583
Joints	D007596
Jugular Veins	D007601
Juxtaglomerular Apparatus	D007606
KB Cells	D007624
Keloid	D007627
Kidney	D007668
Kidney Calices	D007670
Kidney Cortex	D007672
Kidney Glomerulus	D007678
Kidney Medulla	D007679
Kidney Pelvis	D007682
Kidney Tubules	D007684
Kidney Tubules, Collecting	D007685
Kidney Tubules, Distal	D007686
Kidney Tubules, Proximal	D007687
Killer Cells, Natural	D007694
Knee	D007717
Knee Joint	D007719
Kupffer Cells	D007728
L Cells (Cell Line)	D007739
Labial Frenum	D007742
Ear, Inner	D007758
Labyrinth Supporting Cells	D007760
Labyrinthine Fluids	D007761
Lacrimal Apparatus	D007765
Langerhans Cells	D007801
Laryngeal Cartilages	D007817
Laryngeal Mucosa	D007820
Laryngeal Muscles	D007821
Laryngeal Nerves	D007823
Larynx	D007830
Leg	D007866
Leg Bones	D007867
Lens Capsule, Crystalline	D007903
Lens Cortex, Crystalline	D007904
Lens Nucleus, Crystalline	D007907
Lens, Crystalline	D007908
Leukocytes	D007962
Leukocytes, Mononuclear	D007963
Leydig Cells	D007985
Ligaments	D008022
Ligaments, Articular	D008023
Limbic System	D008032
Lingual Frenum	D008035
Lingual Nerve	D008036
Lip	D008046
Liver	D008099
Locus Coeruleus	D008125
Loop of Henle	D008138
Lumbar Vertebrae	D008159
Lumbosacral Plexus	D008160
Lumbosacral Region	D008161
Lung	D008168
Luteal Cells	D008184
Lymph	D008196
Lymph Nodes	D008198
Lymphatic System	D008208
Lymphocytes	D008214
Lymphocytes, Null	D008215
Lymphoid Tissue	D008221
Lysosomes	D008247
Macrophages	D008264
Macula Lutea	D008266
Acoustic Maculae	D008267
Malleus	D008307
Malpighian Tubules	D008317
Mammary Glands, Animal	D008321
Mammary Arteries	D008323
Mammillary Bodies	D008326
Mandible	D008334
Mandibular Condyle	D008335
Mandibular Nerve	D008340
Manubrium	D008371
Masseter Muscle	D008406
Mast Cells	D008407
Masticatory Muscles	D008410
Mastoid	D008416
Maxilla	D008437
Maxillary Artery	D008438
Maxillary Nerve	D008442
Maxillary Sinus	D008443
Mechanoreceptors	D008465
Meckel Diverticulum	D008467
Meconium	D008470
Median Eminence	D008473
Medial Forebrain Bundle	D008474
Median Nerve	D008475
Mediastinum	D008482
Medulla Oblongata	D008526
Megakaryocytes	D008533
Megaloblasts	D008534
Meibomian Glands	D008537
Melanocytes	D008544
Melanophores	D008547
Melena	D008551
Membranes	D008566
Meningeal Arteries	D008576
Meninges	D008578
Menisci, Tibial	D008592
Mesencephalon	D008636
Mesenteric Arteries	D008638
Mesenteric Veins	D008642
Mesentery	D008643
Mesocolon	D008646
Mesoderm	D008648
Mesonephros	D008650
Metacarpophalangeal Joint	D008662
Metacarpus	D008663
Metatarsal Bones	D008682
Metatarsophalangeal Joint	D008683
Metatarsus	D008684
Metrial Gland	D008791
Microbodies	D008830
Actin Cytoskeleton	D008841
Microsomes	D008861
Microsomes, Liver	D008862
Microtubules	D008870
Microvilli	D008871
Milk	D008892
Milk, Human	D008895
Mitochondria	D008928
Mitochondria, Heart	D008929
Mitochondria, Liver	D008930
Mitochondria, Muscle	D008931
Spindle Apparatus	D008941
Mitral Valve	D008943
Molar	D008963
Molar, Third	D008964
Monocytes	D009000
Morula	D009028
Motor Cortex	D009044
Motor Endplate	D009045
Motor Neurons	D009046
Motor Neurons, Gamma	D009047
Mouth	D009055
Mouth Floor	D009060
Mouth Mucosa	D009061
Mucous Membrane	D009092
Mucus	D009093
Mullerian Ducts	D009095
Muscle, Smooth	D009130
Muscle, Smooth, Vascular	D009131
Muscles	D009132
Musculocutaneous Nerve	D009138
Musculoskeletal System	D009141
Myelin Sheath	D009186
Myenteric Plexus	D009197
Myocardium	D009206
Myofibrils	D009210
Myometrium	D009215
Nails	D009262
Nasal Bone	D009295
Nasal Cavity	D009296
Nasal Mucosa	D009297
Nasal Septum	D009300
Nasolacrimal Duct	D009301
Nasopharynx	D009305
Natal Teeth	D009306
Neck	D009333
Neck Muscles	D009334
Neoplastic Cells, Circulating	D009360
Nephrons	D009399
Nerve Endings	D009411
Nerve Fibers	D009412
Nerve Fibers, Myelinated	D009413
Nerve Net	D009415
Nerve Tissue	D009417
Nervous System	D009420
Neural Analyzers	D009430
Neural Crest	D009432
Neural Pathways	D009434
Neurilemma	D009441
Neuroeffector Junction	D009451
Neurofibrils	D009454
Neuroglia	D009457
Neuromuscular Junction	D009469
Muscle Spindles	D009470
Neurons	D009474
Neurons, Afferent	D009475
Neurons, Efferent	D009476
Neurosecretory Systems	D009490
Neutrophils	D009504
Nictitating Membrane	D009541
Nipples	D009558
Nissl Bodies	D009562
Nociceptors	D009619
Nodose Ganglion	D009620
Nose	D009666
Notochord	D009672
Nuclear Envelope	D009685
Nucleolus Organizer Region	D009697
Nucleosomes	D009707
Nucleus Accumbens	D009714
Nuts	D009754
Obturator Nerve	D009776
Occipital Bone	D009777
Occipital Lobe	D009778
Oculomotor Muscles	D009801
Oculomotor Nerve	D009802
Sphincter of Oddi	D009803
Odontoblasts	D009804
Odontoid Process	D009809
Olfactory Bulb	D009830
Olfactory Mucosa	D009831
Olfactory Nerve	D009832
Olfactory Pathways	D009833
Oligodendroglia	D009836
Olivary Nucleus	D009847
Omasum	D009851
Omentum	D009852
Oocytes	D009865
Oogonia	D009867
Ophthalmic Artery	D009880
Ophthalmic Nerve	D009882
Optic Chiasm	D009897
Optic Disk	D009898
Optic Lobe, Nonmammalian	D009899
Optic Nerve	D009900
Orbit	D009915
Organ of Corti	D009925
Organoids	D009940
Oropharynx	D009960
Osteoblasts	D010006
Osteoclasts	D010010
Osteocytes	D010011
Otolithic Membrane	D010037
Oval Window, Ear	D010046
Ovary	D010053
Oviducts	D010057
Ovum	D010063
Pacinian Corpuscles	D010141
Palatal Muscles	D010156
Palate	D010159
Palate, Soft	D010160
Pancreas	D010179
Pancreatic Ducts	D010183
Pancreatic Juice	D010189
Papillary Muscles	D010210
Para-Aortic Bodies	D010220
Paraganglia, Chromaffin	D010233
Paraganglia, Nonchromaffin	D010234
Paranasal Sinuses	D010256
Parasympathetic Nervous System	D010275
Parathyroid Glands	D010280
Paraventricular Hypothalamic Nucleus	D010286
Parietal Bone	D010294
Parietal Cells, Gastric	D010295
Parietal Lobe	D010296
Parotid Gland	D010306
Patella	D010329
Pectoralis Muscles	D010369
Pelvic Bones	D010384
Pelvis	D010388
Penis	D010413
Perianal Glands	D010481
Periapical Tissue	D010486
Periaqueductal Gray	D010487
Pericardium	D010496
Perilymph	D010498
Perineum	D010502
Periodontal Ligament	D010513
Periodontium	D010519
Periosteum	D010521
Peripheral Nerves	D010525
Peritoneal Cavity	D010529
Peritoneum	D010537
Peroneal Nerve	D010543
Petrous Bone	D010579
Peyer's Patches	D010581
Phagocytes	D010586
Phagosomes	D010588
Pharyngeal Muscles	D010609
Pharynx	D010614
Philadelphia Chromosome	D010677
Photoreceptor Cells	D010786
Phrenic Nerve	D010791
Pia Mater	D010841
Pigment Epithelium of Eye	D010857
Fimbriae, Bacterial	D010861
Pineal Gland	D010870
Pituitary Gland	D010902
Pituitary Gland, Anterior	D010903
Pituitary Gland, Posterior	D010904
Pituitary-Adrenal System	D010913
Placenta	D010920
Plasma	D010949
Plasma Cells	D010950
Pleura	D010994
Pollen	D011058
Polyribosomes	D011132
Pons	D011149
Popliteal Artery	D011150
Popliteal Vein	D011152
Portal System	D011168
Portal Vein	D011169
Preoptic Area	D011301
Pressoreceptors	D011311
Prokaryotic Cells	D011387
Prostate	D011467
Protoplasts	D011523
Proventriculus	D011531
Pseudopodia	D011554
Pterygoid Muscles	D011626
Pubic Bone	D011630
Pubic Symphysis	D011631
Pulmonary Alveoli	D011650
Pulmonary Artery	D011651
Pulmonary Stretch Receptors	D011661
Pulmonary Valve	D011664
Pulmonary Veins	D011667
Pupil	D011680
Purkinje Cells	D011689
Purkinje Fibers	D011690
Putamen	D011699
Pyloric Antrum	D011706
Pylorus	D011708
Pyramidal Tracts	D011712
Radial Nerve	D011826
Radius	D011884
Ranvier's Nodes	D011901
Raphe Nuclei	D011903
Sensory Receptor Cells	D011984
Endosomes	D011992
Rectum	D012007
Recurrent Laryngeal Nerve	D012009
Red Nucleus	D012012
Renal Artery	D012077
Renal Veins	D012082
Respiratory Center	D012125
Respiratory Muscles	D012132
Respiratory System	D012137
Rete Testis	D012152
Reticular Formation	D012154
Reticulocytes	D012156
Mononuclear Phagocyte System	D012157
Reticulum	D012159
Retina	D012160
Retinal Artery	D012161
Retinal Ganglion Cells	D012165
Retinal Vein	D012169
Retinal Vessels	D012171
Retroperitoneal Space	D012187
Rhombencephalon	D012249
Ribosomes	D012270
Ribs	D012272
Ring Chromosomes	D012303
Rod Cell Outer Segment	D012374
Round Ligament	D012404
Round Window, Ear	D012405
Rumen	D012417
Saccule and Utricle	D012444
Sacrococcygeal Region	D012445
Sacroiliac Joint	D012446
Sacrum	D012447
Saliva	D012463
Salivary Glands	D012469
Salivary Glands, Minor	D012470
Salt Gland	D012491
Saphenous Vein	D012501
Sarcolemma	D012508
Sarcomeres	D012518
Sarcoplasmic Reticulum	D012519
Scala Tympani	D012533
Scalp	D012535
Scapula	D012540
Scent Glands	D012543
Schwann Cells	D012583
Sciatic Nerve	D012584
Sclera	D012590
Scrotum	D012611
Sebaceous Glands	D012627
Sebum	D012629
Bodily Secretions	D012634
Seeds	D012639
Sella Turcica	D012658
Semen	D012661
Semicircular Canals	D012665
Lunate Bone	D012667
Trigeminal Ganglion	D012668
Seminal Vesicles	D012669
Seminiferous Epithelium	D012670
Seminiferous Tubules	D012671
Sense Organs	D012679
Septal Nuclei	D012686
Septum Pellucidum	D012688
Serous Membrane	D012704
Sertoli Cells	D012708
Sesamoid Bones	D012716
Sex Chromatin	D012728
Sex Chromosomes	D012730
Shoulder	D012782
Shoulder Joint	D012785
Colon, Sigmoid	D012809
Sinoatrial Node	D012849
Sinus of Valsalva	D012850
Skeleton	D012863
Skin	D012867
Skull	D012886
Smegma	D012902
Somatosensory Cortex	D013003
Sperm Head	D013077
Sperm Tail	D013082
Spermatic Cord	D013085
Spermatids	D013087
Spermatocytes	D013090
Spermatogonia	D013093
Spermatozoa	D013094
Sphenoid Bone	D013100
Sphenoid Sinus	D013101
Spherocytes	D013102
Spheroplasts	D013104
Spinal Canal	D013115
Spinal Cord	D013116
Spinal Nerve Roots	D013126
Spinal Nerves	D013127
Spine	D013131
Spinothalamic Tracts	D013133
Spiral Ganglion	D013136
Spiral Lamina	D013137
Splanchnic Nerves	D013153
Spleen	D013154
Splenic Artery	D013157
Splenic Vein	D013162
Spores	D013170
Spores, Bacterial	D013171
Spores, Fungal	D013172
Sputum	D013183
Stapedius	D013198
Stapes	D013199
Stellate Ganglion	D013233
Stem Cells	D013234
Sternoclavicular Joint	D013247
Sternocostal Joints	D013248
Sternum	D013249
Stifle	D013264
Stomach	D013270
Stomach, Avian	D013278
Stomach, Ruminant	D013279
Stomatognathic System	D013284
Stria Vascularis	D013316
Subarachnoid Space	D013346
Subcellular Fractions	D013347
Subclavian Artery	D013348
Subclavian Vein	D013350
Subcommissural Organ	D013351
Subdural Space	D013355
Subfornical Organ	D013356
Sublingual Gland	D013361
Submandibular Gland	D013363
Submitochondrial Particles	D013367
Submucous Plexus	D013368
Substantia Gelatinosa	D013376
Substantia Innominata	D013377
Substantia Nigra	D013378
Subtalar Joint	D013380
Superior Colliculi	D013477
Suprachiasmatic Nucleus	D013493
Supraoptic Nucleus	D013495
Sural Nerve	D013497
Surgical Flaps	D013524
Sweat	D013542
Sweat Glands	D013545
Sympathetic Nervous System	D013564
Synapses	D013569
Synaptic Membranes	D013570
Synaptic Vesicles	D013572
Synaptonemal Complex	D013573
Synaptosomes	D013574
Synovial Fluid	D013582
Synovial Membrane	D013583
T-Lymphocytes	D013601
T-Lymphocytes, Cytotoxic	D013602
Tail	D013623
Talus	D013628
Tarsal Bones	D013639
Tarsal Joints	D013640
Tarsus, Animal	D013643
Taste Buds	D013650
Tears	D013666
Tectorial Membrane	D013680
Tegmentum Mesencephali	D013681
Telencephalon	D013687
Temporal Arteries	D013699
Temporal Bone	D013701
Temporal Lobe	D013702
Temporal Muscle	D013703
Temporomandibular Joint	D013704
Tendons	D013710
Tensor Tympani	D013719
Testis	D013737
Thalamic Nuclei	D013787
Thalamus	D013788
Theca Cells	D013799
Thermoreceptors	D013823
Thigh	D013848
Thoracic Arteries	D013895
Thoracic Duct	D013897
Thoracic Nerves	D013900
Thoracic Vertebrae	D013904
Thorax	D013909
Thumb	D013933
Thymus Gland	D013950
Thyroid Cartilage	D013957
Thyroid Gland	D013961
Tibia	D013977
Tibial Nerve	D013979
Tissues	D014024
Toe Joint	D014033
Toes	D014034
Tongue	D014059
Palatine Tonsil	D014066
Tooth	D014070
Tooth Germ	D014083
Tooth Root	D014092
Tooth, Deciduous	D014094
Tooth, Unerupted	D014097
Trabecular Meshwork	D014129
Trachea	D014132
Tricuspid Valve	D014261
Trigeminal Caudal Nucleus	D014275
Trigeminal Nerve	D014276
Trigeminal Nuclei	D014278
Trigeminal Nucleus, Spinal	D014279
Trochlear Nerve	D014321
Trophoblasts	D014327
Truncus Arteriosus	D014338
Tuber Cinereum	D014371
Tumor Cells, Cultured	D014407
Neoplastic Stem Cells	D014411
Turbinates	D014420
Tympanic Membrane	D014432
Ulna	D014457
Ulnar Nerve	D014459
Ultimobranchial Body	D014460
Umbilical Arteries	D014469
Umbilical Cord	D014470
Umbilical Veins	D014471
Umbilicus	D014472
Urachus	D014497
Ureter	D014513
Urethra	D014521
Urinary Tract	D014551
Urine	D014556
Urogenital System	D014566
Uterus	D014599
Uvea	D014602
Uvula	D014609
Vacuoles	D014617
Vagina	D014621
Vagus Nerve	D014630
Vas Deferens	D014649
Vasa Nervorum	D014650
Vasa Vasorum	D014651
Vasomotor System	D014666
Ampulla of Vater	D014670
Veins	D014680
Vena Cava, Inferior	D014682
Vena Cava, Superior	D014683
Venae Cavae	D014684
Venoms	D014688
Ventromedial Hypothalamic Nucleus	D014697
Venules	D014699
Vernix Caseosa	D014708
Vero Cells	D014709
Vertebral Artery	D014711
Vestibule, Labyrinth	D014722
Vestibular Aqueduct	D014723
Vestibular Nerve	D014725
Vestibular Nuclei	D014726
Vibrissae	D014738
Virion	D014771
Viscera	D014781
Visual Cortex	D014793
Visual Pathways	D014795
Vitelline Duct	D014816
Vitelline Membrane	D014817
Vitreous Body	D014822
Vocal Cords	D014827
Vulva	D014844
Wing	D014921
Wolffian Ducts	D014928
Wood	D014934
Wool	D014935
